词条所在界面（注意是界面不是模块！！）,KW,,中文,英文,法语,德语,西班牙语,意大利语,葡萄牙语,韩语,日语,俄语,波兰语,繁体中文,丹麦语,捷克语,瑞典语,挪威语,荷兰语,泰语,芬兰语,土耳其语,,
表盘页面,KW_RIDE_PAUSED,王赵云,骑行已暂停,Ride Paused,Sortie en pause,Fahrt pausiert,Recorrido pausado,Corsa in pausa,Pedalada pausada,라이드 일시정지됨,ライド一時停止,Заезд приостановлен,Jazda wstrzymana,騎行已暫停,Tur sat på pause,Jízda pozastavena,Tur pausad,Tur satt på pause,Rit gepauzeerd,การขี่หยุดชั่วคราว,Ajo keskeytetty,Sürüş duraklatıldı,,
,KW_RIDE_RESUMED,,骑行已继续,Ride Resumed,Sortie reprise,Fahrt fortgesetzt,Recorrido reanudado,Corsa ripresa,Pedalada retomada,라이드 재개됨,ライド再開,Заезд возобновлен,Jazda wznowiona,騎行已繼續,Tur genoptaget,Jízda obnovena,Tur återupptagen,Tur gjenopptatt,Rit hervat,กลับมาขี่ต่อแล้ว,Ajoa jatkettu,Sürüşe devam edildi,,
,KW_RIDE_AUTO_PAUSING,,自动暂停中,Auto Pausing,Pause automatique,Automatische Pause,Pausa automática,Pausa automatica,Pausa automática,자동 일시정지,自動一時停止,Автопауза,Automatyczna pauza,自動暫停中,Automatisk pause,Automatické pozastavení,Automatisk paus,Automatisk pause,Automatisch pauzeren,กำลังหยุดชั่วคราวอัตโนมัติ,Automaattinen tauko,Otomatik duraklatma,,
,KW_RIDE_STARTED,,骑行已开始,Ride Started,Sortie démarrée,Fahrt gestartet,Recorrido iniciado,Corsa avviata,Pedalada iniciada,라이드 시작됨,ライド開始,Заезд начат,Jazda rozpoczęta,騎行已開始,Tur startet,Jízda zahájena,Tur startad,Tur startet,Rit gestart,เริ่มการขี่แล้ว,Ajo aloitettu,Sürüş başlatıldı,,
,KW_RIDE_GPS_POSITIONING,,GPS定位中,GPS Positioning,Positionnement GPS,GPS-Ortung,Posicionamiento GPS,Posizionamento GPS,Posicionamento GPS,GPS 위치 확인 중,GPS測位中,Определение GPS,Pozycjonowanie GPS,GPS 定位中,GPS-positionering,Určování polohy GPS,GPS-positionering,GPS-posisjonering,GPS-positionering,กำลังระบุตำแหน่ง GPS,GPS-paikannus,GPS konumlandırma,,
,KW_RIDE_LAP_COUNT,,圈数,LAPS,TOURS,RUNDEN,VUELTAS,GIRI,VOLTAS,랩,ラップ,КРУГИ,OKRĄŻENIA,圈數,OMGANGE,OKRUHY,VARV,RUNDER,RONDEN,รอบ,KIERROKSET,TURLAR,,
,KW_RIDE_LAP_DIST,,圈里程,LAP DIST.,DIST. TOUR,RUNDENDIST.,DIST. VUELTA,DIST. GIRO,DIST. VOLTA,랩 거리,ラップ距離,ДИСТ. КРУГА,DYST. OKR.,圈距離,OMG. DIST.,VZD. OKRUHU,VARVDIST.,RUNDEDIST.,RONDE-AFST.,ระยะทางรอบ,KIER. MATKA,TUR MES.,,
,KW_RIDE_LAP_TIME,,圈时间,LAP TIME,TEMPS TOUR,RUNDENZEIT,TIEMPO VUELTA,TEMPO GIRO,TEMPO VOLTA,랩 시간,ラップタイム,ВРЕМЯ КРУГА,CZAS OKR.,圈用時,OMG. TID,ČAS OKRUHU,VARVTID,RUNDETID,RONDETIJD,เวลารอบ,KIER. AIKA,TUR SÜRESİ,,
,KW_RIDE_LAP_CALS,,圈热量消耗,LAP CALS,CAL. TOUR,RUNDENKAL.,CAL. VUELTA,CAL. GIRO,CAL. VOLTA,랩 칼로리,ラップカロリー,КАЛ. КРУГА,KAL. OKR.,圈卡路里,OMG. KAL.,KAL. OKRUHU,VARVKAL.,RUNDEKAL.,RONDE CAL.,แคลอรีรอบ,KIER. KAL.,TUR KAL.,,
,KW_RIDE_LAP_AVG_SPD,,圈平均速度,L. AVG. SPD,VIT. MOY. TOUR,Ø RUNDENGESCHW.,VEL. MED. VUELTA,VEL. MEDIA GIRO,VEL. MÉD. VOLTA,랩 평균 속도,ラップ平均速度,СР. СКОР. КРУГА,ŚR. PRĘDK. OKR.,圈平均速度,OMG. GNS. HAST.,PRŮM. RYCH. OKRUHU,VARV SNITTFART,RUNDE GJ.SN. FART,RONDE GEM. SNELH.,ความเร็วเฉลี่ยรอบ,KIER. KESKINOPEUS,TUR ORT. HIZ,,
