所在页面,字号类别,KW,CN（中文）,EN（英文）,FR（法）,DE（德）,ES（西班牙）,IT（意大利）,PT（葡萄牙）,KO（韩）,JP（日）,RU（俄罗斯）,PL（波兰）,TC（繁）,DA（丹麦）,CZ(捷克),瑞典,挪威,荷兰
勿删，占位使用,,KW_0_INVALID,No Text,No Text,No Text,No Text,No Text,No Text,No Text,No Text,No Text,No Text,No Text,No Text,No Text,No Text,No Text,No Text,No Text
首页,H3、H5,KW_LAUNCHER_ROAD_RIDING,公路骑行,Road Cycling,Vélo route,Rennrad,Carretera​,Corsa su strada,Estrada,도로 사이클링,ロードライド,Шоссе,Szosowe,公路騎乘,Landevej,Silniční cyklistika,Landsvägscykling,Landeveissykling,Racefietsen
首页,H3,KW_LAUNCHER_COMMUTER_RIDING,通勤骑行,Commute Ride,Trajet,Pendelfahrt,Ciudad,Pendolare,Deslocamento,일상 라이딩,通勤ライド,Город,Dojazd,通勤騎乘,Pendling,Denní jízda,Pendlingstur,Jobbpendling,Woon-werkrit
首页,H2,KW_LAUNCHER_MORE_RIDE_MODE_NOTICE,连接APP创建更多骑行模式,Connect to the app to create more cycling modes.,Connectez-vous à l'app pour créer davantage de modes de cyclisme.,"Verbinden Sie sich mit der App, um weitere Fahrmodi zu erstellen.",Conéctate a la aplicación para crear más perfiles de ciclismo.,Connettiti all'app per creare altre modalità di ciclismo.,Conecte ao app para criar mais modos de ciclismo.,더 많은 사이클링 모드를 추가하려면 앱에 연결하세요.,アプリに接続して、さらに多くのサイクリングモードを作成します。,"Подключитесь к приложению, чтобы создать больше профилей езды.","Połącz z aplikacją, aby utworzyć więcej trybów jazdy.",連結APP創建更多騎乘模式,Forbind til appen for at oprette flere cykeltilstande.,Připojte se k aplikaci a vytvořte více cyklistických režimů.,Anslut till appen för att skapa fler cykellägen.,Koble til appen for å opprette flere aktivitetsprofiler.,Verbind met de app om meer fietsmodi te maken.
首页,H3,KW_LAUNCHER_VISITOR,游客,GUEST,INVITÉ,GAST,INVITADO,OSPITE,CONVIDADO,게스트,ゲスト,Гость,GOŚĆ,訪客,GÆST,Host,GÄST,Gjest,GAST
首页-更多功能页,H2、H3、H5,KW_LAUNCHER_SMART_ASSISTANE,智联助手,Smart Assistant,Assistant IA,Smart-Assistent,Asist. Intel.​,Assist. intell.,Assist. intel.,스마트 어시스턴트,スマートAI,Умный ассист.,Intelig. asyst.,智慧助手,Smart-assistent,Smart Assistant,Smart assistent,Smart assistent,Slimme assistent
首页,H4,KW_LAUNCHER_CHARGE_REMINDER,电量低，请尽快充电,"Low battery, charge now","Batterie faible, rechargez maintenant","Akku niedrig, jetzt laden","Batería baja, cargar ahora","Batteria scarica, ricarica ora","Bateria fraca, recarregue agora","배터리가 부족합니다, 즉시 충전해 주세요.",バッテリー残量が少ないため、充電してください,"Низкий заряд, зарядите сейчас","Niski poziom baterii, naładuj teraz",電量低，請儘快充電,"Lavt batteri, oplad nu","Nízká baterie, nabijte nyní","Låg batterinivå, ladda nu","Lavt batterinivå, lad nå","Batterij bijna leeg, laad nu op"
首页,,KW_LAUNCHER_MILEAGE,里程,Distance,Distance,Distanz,Distancia,Distanza,Distância,거리,走行距離,Расстояние,Dystans,距離,Afstand,Vzdálenost,Distans,Distanse,Afstand
首页,H3,KW_LAUNCHER_COMPASS_CHECK_REMINDER,请在【设置—系统】中校准罗盘,Enter [Settings-System] page to calibrate compass.,Accédez à la page [Paramètres-Système] pour calibrer la boussole.,"Gehen Sie zu [Einstellungen-System], um den Kompass zu kalibrieren.",Entre en la página [Ajustes-Sistema] para calibrar la brújula.,Vai a [Impostazioni-Sistema] per calibrare la bussola.,Entre na página [Definições-Sistema] para calibrar a bússola.,나침반 보정을 위해 [설정 > 시스템] 페이지로 이동하세요.,［設定-システム］ページでコンパスを校正してください。,Откалибруйте компас в [Настройки — Система],"Wejdź w [Ustawienia–System], aby skalibrować kompas.",請在【設定 - 系統】中校正羅盤,Gå til [Indstillinger-System] for at kalibrere kompasset.,Přejděte na [Nastavení–Systém] pro kalibraci kompasu.,Gå till sidan [Inställningar-System] för att kalibrera kompassen.,Gå til [Innstillinger > System] for å kalibrere kompasset.,Ga naar de pagina [Instellingen-Systeem] om het kompas te kalibreren.
首页,,KW_LAUNCHER_GNSS_WILL_EXPIRE_REMINDER,星历即将过期，请连接APP/Wi-Fi更新,"Almanac expiring, update via APP/Wi-Fi.","L'almanach expire bientôt, mettez à jour via APP/Wi-Fi.","Almanach läuft bald ab, bitte über APP/Wi-Fi aktualisieren.","El almanaque caduca, actualiza vía APP/Wi-Fi.","Almanacco in scadenza, aggiorna via APP/Wi-Fi.","Almanaque a expirar, atualize via APP/Wi-Fi.",알마낙 데이터가 곧 만료됩니다. APP 또는 Wi-Fi를 통해 업데이트하세요.,アルマナックの有効期限が近づいています。APP/Wi-Fiで更新してください。,"Эфемериды скоро истекут, обновите через приложение или Wi-Fi","Almanach wygasa, zaktualizuj przez APP/Wi‑Fi.",衛星資料即將過期，請連接APP/Wi - Fi更新,"Almanak udløber snart, opdater via APP/Wi-Fi.","Almanach brzy vyprší, aktualizujte přes aplikaci/Wi‑Fi.","Almanackan är på väg att löpa ut, uppdatera via APP/Wi-Fi.",GPS-almanakk utløper snart. Oppdater via app/Wi-Fi.,"Almanak verloopt binnenkort, update via APP/Wi-Fi."
